ticker,height,atomical_id,utxo_count,utxo_amount,minted_times,minted_amount,max_mints
0,860000,74354f5abd480379ff5346c2258bb87510c75859f9623734792000d9ff9cef81i0,20,20000,21,21000,21
1,860000,221236662c30949b81433f0bc69fabf55b0a5a0bea3e76b01dbd8e7afbc99c4bi0,1,1000,1,1000,1
1234,860000,3364666533a8244244af9640463df83853f196cbe8f8f62b26fb069a5fcf179ai0,0,0,31,24800,500000
1ecash1dollar,860000,0000fdb201964da15d1cb4fd35b9b2d1f9e2771cbde12e94a9e565e97ca504ffi0,0,0,0,0,1000000
1ecash1usd,860000,00004d3e407834db6fb6a70b064ad4b7999f417c275bfb50fc677c6190f4a2a5i0,0,0,0,0,1000000
1sat1usd,860000,000082f349336d280333e28ec991874915678b6ed787e5ed9a4427a72c0b6846i0,0,0,0,0,1000000
1sats1dollar,860000,00009931670cd8a800bbd0179a5573a1c1075f9076a475b0cc465f4619940026i0,0,0,0,0,1000000
1tum,860000,00005877c72c40bf2f7be16d825a3656663ae4ec0852e403447d9bbb2d6f2d0di0,0,0,0,0,500000
2,860000,57799122cfded50a81835337b7b01d368be94677077a0fd8257ca6dc0a3a24cei0,1,1000,1,1000,1
2024,860000,4542ede59b8d821d4339430cd6c3d50d79366d2a012e58f1c1ba07295c20ea44i0,2,2024,1,0,0
235u,860000,23503bfd242b62fec87a914996a4f53a11eef8eb84cbd5f8127767e270c48057i0,1,546,1,546,1
3,860000,9135a933634304b26c5113d16af578f7579096305a60ae1dd09215803a32b54fi0,1,1000,1,1000,1
3body,860000,00001b54368365711e1db7aa1f17c7c603c125a37fde05023127e781ddae05cai0,3,360000,3,360000,420000
4,860000,00004ab7d92c11a135cb5833a7b0202dcc18b7bb56779970c8fdf86f0093b0eei0,1,1000,1,1000,21000
5,860000,00005ee190494f135ba3424abc587d0bfe42ad0a0c6c726aa2dbfb29e6963d99i0,31,31000,31,31000,21000
546,860000,8107947ce496504385d49d122327cc065a5be3e9ca828f2b2b30817346264b83i0,2,229320,2,229320,100000
6,860000,3950e1c98f816ce8c3dbcc76b0a86a3f5580ef00b0c030813c1d790f65192aaai0,1,1000,1,1000,1
7,860000,0000220ca477b1586f3aabe19d5066db7003a7a91464ba6df9bd4ada27a5d589i0,88,88746,114,114000,21000
8,860000,2101f9ae1a90cc52f51db85e688459129a9e7f49f2623a4bc613d0085e0dafddi0,1,1000,1,1000,1
808080,860000,f32bd85c932c9df1acded8af3df539b735a24c616f1284f1aaf807a1645b4431i0,11,11000,11,11000,21000
9,860000,00009e9a921b1176380ba02bd2aa1d6cce4131117362b6a64815ef2aa2e47be3i0,1,546,1,546,1
96110,860000,0000a66b77f96854bba0ee2b2571dbe6e420a735297ce23f850631c7b8b86bf3i0,0,0,0,0,21000
999999999999999999btc,860000,00002eef59eacb3ab23249256d0a055683c9860df90f765e9a75fe5aa8ae6116i0,1,1000,1,1000,21000
a,860000,66466d0207d9f50b5782678282e08cffb8e315e95da8d91b3d46f290b440a8bdi0,19012,20922468,21000,21000000,21000
