address,overall_balance,transferable_balance,available_balance,available_balance_safe,available_balance_unsafe,last_height,updated_at,token
127Gzndug19Y1MfXMhnbQoEomK3RWWdVdL,16800,0,16800,16800,0,928231,2025/12/17 14:46,doge
128ULTKYyg6stSYrnQgcMvPrkFvmtFewmf,504000,0,504000,504000,0,928231,2025/12/17 14:44,doge
12ANemmeJHwudbkkShKiAH4sfPBLfxeEvh,500,0,500,500,0,928232,2025/12/17 14:55,doge
12CrgpACFTuw1tEwXtGtsB8vsCaxwdaPPM,3,0,3,3,0,928232,2025/12/17 14:56,doge
12NN8cwjQtTFjken4bfpq6qNga1gPoEcEk,50400,50400,0,0,0,928231,2025/12/17 14:45,doge
12QuWGZWEPzPhZq9iGzD7d5Bw2Wg9XT7fs,100800,0,100800,100800,0,928231,2025/12/17 14:45,doge
12tcwQMqE8o3Eo3r653oqXwDCjnjdDvZjS,105000,0,105000,105000,0,928231,2025/12/17 14:44,doge
12Vpp1E2U8XXRZ1VMJ4DibdfsvjBYnYzM6,84000,0,84000,84000,0,928231,2025/12/17 14:45,doge
12VVUuKAsj6AETmoZic6mPmKaEkYGDnJSC,8400,0,8400,8400,0,928231,2025/12/17 14:47,doge
12wtLmb5q6eZCV8efRJJEtgHd9sB2TzU7a,550000,0,550000,550000,0,928231,2025/12/17 14:44,doge
12zkGKZpf1MwdAJJ5BkKBjQB1WofoCo4E6,4200,0,4200,4200,0,928231,2025/12/17 14:49,doge
138Y6JncrKnkn3uTvhuJNewgRyoTSDN1zE,7399,0,7399,7399,0,928231,2025/12/17 14:49,doge
13eyLK84DEVNdAaLsGXKXsXPfjwSEwP1Cx,8400,0,8400,8400,0,928231,2025/12/17 14:47,doge
13o5X4KvXe4zGq2trV6hN9wPaq2Z8tb5FM,1200,0,1200,1200,0,928232,2025/12/17 14:55,doge
13QGi5J6FbxM3kCZsXj9v5AcQvkxCSY5mr,4200,0,4200,4200,0,928231,2025/12/17 14:49,doge
13qUkNMWdJ4pENpvMJJvAp5HffruHPEumX,6,0,6,6,0,928232,2025/12/17 14:56,doge
13V2vWJKH67ALf9LQe6jNMLvbs8z1sMvQo,16800,0,16800,16800,0,928231,2025/12/17 14:46,doge
13xd7Nir2Qb55QnXRuh1cxFJrgqvQsfy1S,1021,0,1021,1021,0,928232,2025/12/17 14:55,doge
14adsifaig2pWid8vcmuXXkYE8fQb59kqb,4200,0,4200,4200,0,928231,2025/12/17 14:49,doge
14ENfY2nhdgDxemymqX7pvnNTc5kMDvJ4h,1,0,1,1,0,928232,2025/12/17 14:56,doge
14f41en3wHfSp27LrHQz8wpqB2aPx99sae,4200,0,4200,4200,0,928231,2025/12/17 14:49,doge
14fqS35uoe9EkcZd3RYi8L44tjaZVbbLUH,33600,33600,0,0,0,928231,2025/12/17 14:45,doge
14K2PvNJPHLUwjzgdcLrTq3AuQAT9RhZiF,4200,0,4200,4200,0,928231,2025/12/17 14:49,doge
